Month-Year_,Date_nunique,Trips_sum,Miles_Traveled_sum,Miles_Traveled_mean,24-Hour_Passes_Purchased_sum,24-Hour_Passes_Purchased_mean,3-Day_Passes_Purchased_sum,3-Day_Passes_Purchased_mean,Total_Annual_Members_min,Total_Annual_Members_max,Total_Annual_Members_mean
2018-04-01,30,1307490,3123635,104121.16666666667,52705,1756.8333333333333,4141,138.03333333333333,257811,261874,259453.53333333333
2019-04-01,30,1766353,3075786,102526.2,122008,4066.9333333333334,3289,109.63333333333334,303223,308192,305747.56666666665
2018-08-01,31,1977614,3550137,114520.54838709677,120395,3883.7096774193546,7329,236.41935483870967,279888,285087,282534.93548387097
2018-12-01,31,1029782,1543561,49792.290322580644,32144,1036.9032258064517,1065,34.354838709677416,296553,297748,297136.93548387097
2018-02-01,28,843097,1749467,62480.96428571428,11624,415.14285714285717,932,33.285714285714285,254590,255944,255114.35714285713
2019-02-01,28,956381,1397032,49894.0,25134,897.6428571428571,711,25.392857142857142,298998,300157,299610.64285714284
2018-01-01,31,718975,1409622,45471.67741935484,7995,257.9032258064516,518,16.70967741935484,253490,254539,253951.96774193548
2019-01-01,31,978907,1387517,44758.6129032258,21243,685.258064516129,579,18.677419354838708,297823,298975,298465.22580645164
2018-07-01,31,1913557,4060337,130978.6129032258,125184,4038.1935483870966,7693,248.16129032258064,274813,279702,277303.4516129032
2018-06-01,30,1952869,4502487,150082.9,111190,3706.3333333333335,6919,230.63333333333333,269167,274628,271973.26666666666
2018-03-01,31,975994,2079814,67090.7741935484,20074,647.5483870967741,1502,48.45161290322581,256022,257701,256788.16129032258
2019-03-01,31,1328181,2061862,66511.67741935483,58588,1889.9354838709678,1679,54.16129032258065,300183,303060,301235.1935483871
2018-05-01,31,1824665,4438048,143162.83870967742,93022,3000.7096774193546,7533,243.0,262154,268998,265720.03225806454
2019-05-01,31,1924708,3515610,113406.7741935484,161924,5223.354838709677,4412,142.32258064516128,308383,313606,310850.7419354839
2018-11-01,30,1276327,2004882,66829.4,50017,1667.2333333333333,2216,73.86666666666666,294111,296497,295074.0
2018-10-01,31,1895417,3160486,101951.16129032258,88420,2852.2580645161293,5443,175.58064516129033,290631,294007,292340.5483870968
2018-09-01,30,1878131,3372575,112419.16666666667,113634,3787.8,7981,266.03333333333336,285245,290467,287846.5
