Month,Annual Membership,Casual Membership,Annual Overages,Casual Overages,Other Revenue,Sponsorship,Total,Year
2018-01-01,584616.0,113191.0,47809.0,52041.0,18273.0,3274062.0,4121208.0,2018
2018-02-01,666291.0,166552.0,57542.0,100713.0,87617.0,50000.0,996863.0,2018
2018-03-01,83803749.0,27717980.0,5058469.0,10357539.0,2459572.0,145919573.0,272956698.0,2018
2018-04-01,182511004.0,58173700.0,5813172.0,34654544.0,2927521.0,32830462.0,316651372.0,2018
2018-05-01,305992730.0,96781198.0,9269526.0,52254304.0,3449694.0,184638580.0,652766487.0,2018
2018-06-01,317641195.0,106193449.0,13527291.0,53262692.0,6119592.0,124525087.0,613073627.0,2018
2018-07-01,288490113.0,113309433.0,15046199.0,61265102.0,4514712.0,217088906.0,697494520.0,2018
2018-08-01,329690974.0,106179920.0,13569870.0,54395223.0,7144365.0,5199837.0,514132743.0,2018
2018-09-01,344156510.0,96735615.0,12699636.0,48265089.0,6136055.0,236464863.0,746434668.0,2018
2018-10-01,212966928.0,70241708.0,11578362.0,37779411.0,13804470.0,108143567.0,445157723.0,2018
2018-11-01,146687184.0,38506450.0,5928675.0,18014953.0,12767365.0,31011820.0,267620254.0,2018
2018-12-01,74726842.0,24721950.0,4837559.0,9032924.0,6348127.0,7587300.0,123071194.0,2018
2019-01-01,66774659.0,15357600.0,3833602.0,6409139.0,3379526.0,15489750.0,102768814.0,2019
2019-02-01,63115361.0,17736900.0,2938208.0,6248068.0,443823.0,181240525.0,271403558.0,2019
2019-03-01,119062828.0,42445816.0,2818685.0,13158605.0,5171605.0,133485800.0,317756161.0,2019
2019-04-01,202141146.0,91574893.0,4542606.0,36216103.0,12217126.0,1000000.0,349458172.0,2019
2019-05-01,291121103.0,111224196.0,8159559.0,42805237.0,4330154.0,336230469.0,802288324.0,2019
