Revenue Categories,December,December YTD
Annual Membership,"$ 1,067,913.27","$ 24,733,535.16"
Monthly Membership,"$ 10,020.00","$ 325,289.09"
Casual Membership,"$ 282,463.30","$ 10,414,687.83"
Annual Overages,"$ 33,674.94","$ 708,732.73"
Monthly Overages,"$ 2,958.04","$ 56,713.70"
Casual Overages,"$ 86,096.97","$ 3,609,317.17"
Other Revenue,"$ 6,944.92","$ 462,360.19"
Refund & Discounts,"$ (67,740.39)","$ (3,040,026.27)"
Tax,"$ 120,359.90","$ 3,269,940.90"
Sponsorship,"$ 802,500.00","$ 11,182,175.38"
Total,"$ 2,345,190.95","$ 51,722,725.88"
