Revenue Categories,January,January YTD
Annual Membership,"$ 633,702.00","$ 633,702.00"
Monthly Membership,"$ 10,520.00","$ 10,520.00"
Casual Membership,"$ 332,718.20","$ 332,718.20"
Annual Overages,"$ 23,664.71","$ 23,664.71"
Monthly Overages,"$ 2,402.64","$ 2,402.64"
Casual Overages,"$ 98,469.70","$ 98,469.70"
Other Revenue,"$ 25,592.05","$ 25,592.05"
Refund & Discounts,"$ (97,224.62)","$ (97,224.62)"
Tax,"$ 94,187.69","$ 94,187.69"
Sponsorship,"$ 820,310.00","$ 820,310.00"
Total,"$ 1,944,342.37","$ 1,944,342.37"
