Revenue Categories,July,July YTD
Annual Membership,"$ 3,081,996.60","$13,622,790.19"
Monthly Membership,"$ 47,885.80","$  255,704.09"
Casual Membership,"$ 1,369,738.38","$  5,529,420.20"
Annual Overages,"$ 80,533.12","$  379,433.77"
Monthly Overages,"$ 6,442.52","$  28,107.59"
Casual Overages,"$ 501,874.01","$  2,025,306.95"
Other Revenue,"$ 39,354.04","$  331,101.96"
Refund & Discounts,"$ (395,127.32)","$ (1,896,554.26)"
Tax,"$ 409,539.53","$  1,776,639.31"
Sponsorship,"$ 793,710.00","$  7,468,175.44"
