Revenue Categories,November,November YTD
Annual Membership,"$1,466,871.84 ","$23,706,310.08 "
Monthly Membership,"$5,425.00 ","$21,580.00 "
Casual Membership,"$385,064.50 ","$7,364,606.35 "
Annual Overages,"$59,286.75 ","$603,767.64 "
Monthly Overages,"$3,015.00 ","$6,824.00 "
Casual Overages,"$180,149.53 ","$3,335,279.62 "
Other Revenue,"$127,673.65 ","$591,830.84 "
Refund & Discounts,"($54,175.11)","($2,669,180.10)"
Tax,"$192,773.18 ","$2,948,406.83 "
Sponsorship,"$310,118.20 ","$16,341,276.06 "
Total,"$2,676,202.54 ","$52,250,701.32 "
